TXNAME	GENEID	chr1
ENST00000421314.1	ENSG00000233929.1	0
ENST00000421331.1	ENSG00000235927.4	0
ENST00000421341.2	ENSG00000229486.2	0
ENST00000421364.5	ENSG00000054267.22	0
ENST00000421383.1	ENSG00000143815.15	0
ENST00000421395.1	ENSG00000175658.4	0
ENST00000421398.5	ENSG00000198520.12	0
ENST00000421406.1	ENSG00000227671.5	0
ENST00000421414.2	ENSG00000223490.2	0
ENST00000421415.5	ENSG00000215883.11	0
ENST00000421430.2	ENSG00000230228.2	0
ENST00000421449.1	ENSG00000231871.5	0
ENST00000421455.2	ENSG00000237928.7	0
ENST00000421469.4	ENSG00000228750.8	0
ENST00000421487.6	ENSG00000132676.16	0
ENST00000421495.6	ENSG00000127054.22	0
ENST00000421505.2	ENSG00000224687.3	0
ENST00000421528.6	ENSG00000162600.12	0
ENST00000421530.1	ENSG00000233693.1	0
ENST00000421535.5	ENSG00000198162.12	0
ENST00000421589.5	ENSG00000131236.18	0
ENST00000421609.5	ENSG00000143418.20	0
ENST00000421616.1	ENSG00000224066.1	0
ENST00000421619.2	ENSG00000224409.2	0
ENST00000421625.6	ENSG00000090686.16	0
ENST00000421630.6	ENSG00000274386.6	0
ENST00000421637.1	ENSG00000228838.1	0
ENST00000421641.2	ENSG00000162613.18	0
ENST00000421658.2	ENSG00000224784.2	0
ENST00000421661.1	ENSG00000156875.14	0
ENST00000421683.1	ENSG00000116750.14	0
ENST00000421687.6	ENSG00000090621.15	0
ENST00000421702.4	ENSG00000162747.13	0
ENST00000421703.5	ENSG00000232860.11	0
ENST00000421743.6	ENSG00000117152.14	0
ENST00000421762.5	ENSG00000226026.8	0
ENST00000421764.1	ENSG00000234222.7	0
ENST00000421785.1	ENSG00000237959.1	0
ENST00000421786.5	ENSG00000123838.11	0
ENST00000421812.3	ENSG00000143067.5	1
ENST00000421822.2	ENSG00000168509.20	0
ENST00000421827.2	ENSG00000158062.21	0
ENST00000421838.1	ENSG00000224980.1	0
ENST00000421851.1	ENSG00000236535.1	0
ENST00000421866.1	ENSG00000233875.1	0
ENST00000421878.2	ENSG00000272865.3	0
ENST00000421884.2	ENSG00000230026.2	0
ENST00000421914.6	ENSG00000162736.18	0
ENST00000421922.6	ENSG00000160050.16	0
ENST00000421931.1	ENSG00000236268.7	0
ENST00000421933.1	ENSG00000231057.6	0
ENST00000421943.1	ENSG00000225075.2	0
ENST00000421986.5	ENSG00000143390.18	0
ENST00000421994.2	ENSG00000232198.2	0
ENST00000421997.5	ENSG00000293271.2	0
ENST00000422008.7	ENSG00000234741.11	0
ENST00000422015.1	ENSG00000234419.1	0
ENST00000422026.1	ENSG00000117155.17	0
ENST00000422038.1	ENSG00000227935.1	0
ENST00000422062.1	ENSG00000291226.2	0
ENST00000422071.1	ENSG00000236792.1	0
ENST00000422072.5	ENSG00000143845.15	0
ENST00000422076.5	ENSG00000160087.21	0
ENST00000422078.1	ENSG00000117620.15	0
ENST00000422100.1	ENSG00000226292.1	0
ENST00000422106.2	ENSG00000268074.1	0
ENST00000422107.1	ENSG00000228988.1	0
ENST00000422124.1	ENSG00000238142.5	0
ENST00000422127.5	ENSG00000154358.23	0
ENST00000422153.1	ENSG00000224645.1	0
ENST00000422162.5	ENSG00000293271.2	0
ENST00000422165.6	ENSG00000118194.22	0
ENST00000422183.7	ENSG00000234741.11	0
ENST00000422187.2	ENSG00000230318.2	0
ENST00000422197.2	ENSG00000232027.2	0
ENST00000422198.2	ENSG00000241042.2	0
ENST00000422207.6	ENSG00000234741.11	0
ENST00000422215.1	ENSG00000227854.1	0
ENST00000422216.1	ENSG00000226252.1	0
ENST00000422234.2	ENSG00000127603.32	0
ENST00000422240.6	ENSG00000143801.18	0
ENST00000422241.2	ENSG00000121446.20	0
ENST00000422250.1	ENSG00000230260.1	0
ENST00000422253.1	ENSG00000228697.7	0
ENST00000422259.1	ENSG00000235777.1	0
ENST00000422272.2	ENSG00000232240.2	0
ENST00000422274.2	ENSG00000116147.19	0
ENST00000422278.1	ENSG00000198815.9	0
ENST00000422305.2	ENSG00000235358.3	0
ENST00000422306.2	ENSG00000236434.2	0
ENST00000422329.1	ENSG00000198162.12	0
ENST00000422345.1	ENSG00000223643.6	0
ENST00000422374.1	ENSG00000233079.4	0
ENST00000422383.1	ENSG00000236500.1	0
ENST00000422435.2	ENSG00000116852.15	0
ENST00000422446.1	ENSG00000229220.1	0
ENST00000422457.2	ENSG00000236439.4	0
ENST00000422460.1	ENSG00000229101.1	0
ENST00000422480.5	ENSG00000225172.6	0
ENST00000422520.6	ENSG00000143036.17	0
ENST00000422522.1	ENSG00000226324.1	0
ENST00000422528.1	ENSG00000229905.1	0
ENST00000422534.1	ENSG00000235827.2	0
ENST00000422548.1	ENSG00000228697.7	0
ENST00000422549.1	ENSG00000237763.10	0
ENST00000422551.1	ENSG00000229032.1	0
ENST00000422560.1	ENSG00000224783.1	0
ENST00000422584.1	ENSG00000234383.1	0
ENST00000422587.2	ENSG00000227207.2	0
ENST00000422590.6	ENSG00000162946.24	0
ENST00000422595.5	ENSG00000143390.18	0
ENST00000422630.1	ENSG00000236317.1	0
ENST00000422638.2	ENSG00000228176.2	0
ENST00000422659.5	ENSG00000184313.20	0
ENST00000422665.2	ENSG00000231064.10	0
ENST00000422699.5	ENSG00000143845.15	0
ENST00000422725.4	ENSG00000228594.4	0
ENST00000422727.2	ENSG00000224227.4	0
ENST00000422754.1	ENSG00000116679.17	0
ENST00000422768.1	ENSG00000226947.1	0
ENST00000422815.5	ENSG00000134216.19	0
ENST00000422817.2	ENSG00000231029.2	0
ENST00000422841.5	ENSG00000225243.6	0
ENST00000422844.2	ENSG00000234464.3	0
ENST00000422857.1	ENSG00000235700.1	0
ENST00000422858.1	ENSG00000225857.5	0
ENST00000422901.1	ENSG00000215704.10	0
ENST00000422925.6	ENSG00000085831.16	0
ENST00000422938.1	ENSG00000232085.1	0
ENST00000422958.1	ENSG00000235605.1	0
ENST00000422980.1	ENSG00000232878.3	0
ENST00000422983.1	ENSG00000236290.1	0
ENST00000422998.1	ENSG00000213047.13	0
ENST00000423010.1	ENSG00000229567.1	0
ENST00000423014.3	ENSG00000215845.11	0
ENST00000423025.6	ENSG00000163357.11	0
ENST00000423056.2	ENSG00000204624.8	0
ENST00000423060.1	ENSG00000225891.3	0
ENST00000423070.5	ENSG00000143416.21	0
ENST00000423081.1	ENSG00000143379.13	0
ENST00000423082.1	ENSG00000225672.1	0
ENST00000423085.7	ENSG00000198860.14	0
ENST00000423121.1	ENSG00000224358.1	0
ENST00000423131.5	ENSG00000174371.17	0
ENST00000423146.5	ENSG00000008118.10	0
ENST00000423175.2	ENSG00000238005.5	0
ENST00000423179.1	ENSG00000180437.5	0
ENST00000423187.2	ENSG00000226208.2	0
ENST00000423197.2	ENSG00000235054.5	0
ENST00000423207.6	ENSG00000184588.18	0
ENST00000423209.5	ENSG00000117461.15	0
ENST00000423212.1	ENSG00000228196.1	0
ENST00000423216.2	ENSG00000237749.4	0
ENST00000423222.7	ENSG00000153363.16	0
ENST00000423231.1	ENSG00000232037.3	0
ENST00000423253.1	ENSG00000187010.21	0
ENST00000423265.1	ENSG00000238037.1	0
ENST00000423289.1	ENSG00000142945.13	0
ENST00000423313.6	ENSG00000235750.10	0
ENST00000423332.1	ENSG00000154198.15	0
ENST00000423362.1	ENSG00000171161.13	0
ENST00000423400.7	ENSG00000177000.13	0
ENST00000423403.1	ENSG00000231252.5	0
ENST00000423408.6	ENSG00000232453.8	0
ENST00000423410.2	ENSG00000228504.2	0
ENST00000423420.1	ENSG00000253313.6	0
ENST00000423422.6	ENSG00000116584.22	0
ENST00000423434.5	ENSG00000137948.19	0
ENST00000423464.1	ENSG00000234080.3	0
ENST00000423475.1	ENSG00000213032.3	0
ENST00000423476.1	ENSG00000237514.3	0
ENST00000423486.1	ENSG00000236963.10	0
ENST00000423508.5	ENSG00000176083.18	0
ENST00000423510.2	ENSG00000226565.2	0
ENST00000423538.6	ENSG00000160785.14	0
ENST00000423542.5	ENSG00000133067.18	0
ENST00000423557.1	ENSG00000136634.7	0
ENST00000423619.2	ENSG00000231702.2	0
ENST00000423664.5	ENSG00000158062.21	0
ENST00000423668.1	ENSG00000234020.1	0
ENST00000423670.1	ENSG00000000457.14	0
ENST00000423678.2	ENSG00000243480.8	0
ENST00000423723.1	ENSG00000020129.16	0
ENST00000423728.6	ENSG00000290385.2	0
ENST00000423764.6	ENSG00000293478.2	0
ENST00000423792.1	ENSG00000237922.1	0
ENST00000423796.2	ENSG00000235146.3	0
ENST00000423810.6	ENSG00000187010.21	0
ENST00000423837.1	ENSG00000235101.1	0
ENST00000423841.1	ENSG00000231684.3	0
ENST00000423842.2	ENSG00000228067.2	0
ENST00000423855.7	ENSG00000185946.16	0
ENST00000423879.5	ENSG00000243062.7	0
ENST00000423898.1	ENSG00000163866.9	0
ENST00000423907.5	ENSG00000233154.6	0
ENST00000423921.1	ENSG00000236009.1	0
ENST00000423932.6	ENSG00000196184.10	0
ENST00000423940.1	ENSG00000228217.1	0
ENST00000423943.4	ENSG00000224259.10	0
ENST00000423946.2	ENSG00000237317.2	0
ENST00000423963.2	ENSG00000237520.3	0
ENST00000423984.2	ENSG00000224238.2	0
ENST00000423988.1	ENSG00000238005.5	0
ENST00000423995.5	ENSG00000291132.2	0
ENST00000424004.1	ENSG00000226766.1	0
ENST00000424022.2	ENSG00000143815.15	0
ENST00000424043.3	ENSG00000224678.3	0
ENST00000424044.4	ENSG00000198468.12	0
ENST00000424045.2	ENSG00000233771.2	0
ENST00000424054.1	ENSG00000236401.1	0
ENST00000424084.1	ENSG00000233755.2	0
ENST00000424085.6	ENSG00000134644.16	0
ENST00000424088.1	ENSG00000123838.11	0
ENST00000424138.1	ENSG00000227466.1	0
ENST00000424164.1	ENSG00000182183.15	0
ENST00000424181.2	ENSG00000224977.3	0
ENST00000424215.2	ENSG00000228037.2	0
ENST00000424229.2	ENSG00000227236.2	0
ENST00000424246.1	ENSG00000238140.1	0
ENST00000424254.6	ENSG00000143756.12	0
ENST00000424289.1	ENSG00000223450.1	0
ENST00000424294.5	ENSG00000117640.18	0
ENST00000424320.6	ENSG00000118473.23	0
ENST00000424327.1	ENSG00000203758.4	0
ENST00000424332.1	ENSG00000242861.1	0
ENST00000424357.1	ENSG00000233079.4	0
ENST00000424367.5	ENSG00000116213.16	0
ENST00000424368.1	ENSG00000231905.2	0
ENST00000424379.1	ENSG00000231353.1	0
ENST00000424390.2	ENSG00000117450.15	0
ENST00000424418.1	ENSG00000225903.1	0
ENST00000424419.6	ENSG00000066136.21	0
ENST00000424435.1	ENSG00000228013.2	0
ENST00000424448.2	ENSG00000224348.2	0
ENST00000424449.2	ENSG00000137942.18	0
ENST00000424451.1	ENSG00000228625.1	0
ENST00000424475.5	ENSG00000143416.21	0
ENST00000424484.5	ENSG00000198520.12	0
ENST00000424487.1	ENSG00000203469.2	0
ENST00000424505.2	ENSG00000224081.11	0
ENST00000424517.3	ENSG00000223745.9	0
ENST00000424528.2	ENSG00000225206.13	0
ENST00000424564.2	ENSG00000152092.16	0
ENST00000424567.1	ENSG00000236876.3	0
ENST00000424587.7	ENSG00000292994.2	0
ENST00000424592.1	ENSG00000231740.2	0
ENST00000424604.1	ENSG00000293188.2	0
ENST00000424639.5	ENSG00000132692.19	0
ENST00000424645.6	ENSG00000162736.18	0
ENST00000424657.1	ENSG00000224387.1	0
ENST00000424664.1	ENSG00000225767.2	0
ENST00000424684.2	ENSG00000263590.3	0
ENST00000424689.1	ENSG00000233645.1	0
ENST00000424695.1	ENSG00000215149.3	0
ENST00000424696.6	ENSG00000224260.7	0
ENST00000424704.1	ENSG00000227425.1	0
ENST00000424711.1	ENSG00000293271.2	0
ENST00000424712.6	ENSG00000133056.14	0
ENST00000424719.2	ENSG00000223589.2	0
ENST00000424725.2	ENSG00000172456.18	0
ENST00000424732.5	ENSG00000127483.19	0
ENST00000424735.2	ENSG00000237457.7	0
ENST00000424736.2	ENSG00000232499.2	0
ENST00000424737.2	ENSG00000225920.2	0
ENST00000424742.1	ENSG00000232148.1	0
ENST00000424754.5	ENSG00000162736.18	0
ENST00000424774.3	ENSG00000227959.3	0
ENST00000424792.5	ENSG00000204464.8	0
ENST00000424829.1	ENSG00000232846.1	0
ENST00000424862.2	ENSG00000232208.2	0
ENST00000424872.2	ENSG00000231199.2	0
ENST00000424879.2	ENSG00000235907.2	0
ENST00000424885.1	ENSG00000234041.1	0
ENST00000424908.5	ENSG00000132906.18	0
ENST00000424917.1	ENSG00000233819.1	0
ENST00000424943.1	ENSG00000233907.1	0
ENST00000424948.3	ENSG00000234694.3	0
ENST00000424953.1	ENSG00000223479.4	0
ENST00000424959.5	ENSG00000173171.15	0
ENST00000424976.1	ENSG00000225462.1	0
ENST00000424977.1	ENSG00000131236.18	0
ENST00000424982.1	ENSG00000232542.1	0
ENST00000424989.3	ENSG00000233621.4	0
ENST00000424995.2	ENSG00000223949.9	0
ENST00000424999.1	ENSG00000143398.20	0
ENST00000425003.2	ENSG00000233003.4	0
ENST00000425010.1	ENSG00000236866.6	0
ENST00000425064.1	ENSG00000234332.1	1
ENST00000425076.1	ENSG00000228192.11	0
ENST00000425080.1	ENSG00000143815.15	0
ENST00000425104.1	ENSG00000236358.1	0
ENST00000425108.1	ENSG00000242529.1	0
ENST00000425109.2	ENSG00000234225.2	0
ENST00000425113.1	ENSG00000232825.4	0
ENST00000425123.1	ENSG00000236085.1	0
ENST00000425134.2	ENSG00000265972.6	0
ENST00000425149.1	ENSG00000229367.1	0
ENST00000425161.2	ENSG00000237605.4	0
ENST00000425185.2	ENSG00000225446.4	0
ENST00000425194.2	ENSG00000226374.4	0
ENST00000425205.1	ENSG00000224311.2	0
ENST00000425209.1	ENSG00000215859.10	0
ENST00000425245.1	ENSG00000215819.3	0
ENST00000425265.6	ENSG00000155366.17	0
ENST00000425270.1	ENSG00000213080.3	0
ENST00000425271.1	ENSG00000229588.4	0
ENST00000425293.1	ENSG00000234315.1	0
ENST00000425294.1	ENSG00000227177.1	0
ENST00000425295.4	ENSG00000228288.10	0
ENST00000425300.6	ENSG00000271723.5	0
ENST00000425352.6	ENSG00000229537.8	0
ENST00000425360.5	ENSG00000163531.17	0
ENST00000425400.5	ENSG00000158747.15	0
ENST00000425410.1	ENSG00000174876.17	0
ENST00000425412.2	ENSG00000233461.6	0
ENST00000425413.5	ENSG00000127481.15	0
ENST00000425435.1	ENSG00000229913.1	0
ENST00000425449.1	ENSG00000228035.2	0
ENST00000425455.2	ENSG00000233432.2	0
ENST00000425457.6	ENSG00000066136.21	0
ENST00000425462.1	ENSG00000230833.1	0
ENST00000425480.2	ENSG00000227056.2	0
ENST00000425517.1	ENSG00000223883.3	0
ENST00000425530.3	ENSG00000117602.13	0
ENST00000425537.1	ENSG00000176256.11	0
ENST00000425550.5	ENSG00000203666.13	0
ENST00000425554.2	ENSG00000235358.3	0
ENST00000425559.1	ENSG00000235710.6	0
ENST00000425560.1	ENSG00000117791.16	0
ENST00000425573.2	ENSG00000225171.2	0
ENST00000425598.2	ENSG00000221978.13	0
ENST00000425614.3	ENSG00000162594.17	0
ENST00000425631.5	ENSG00000231163.7	0
ENST00000425640.1	ENSG00000232393.1	0
ENST00000425657.1	ENSG00000228794.13	0
ENST00000425698.3	ENSG00000233791.8	0
ENST00000425737.1	ENSG00000213045.3	0
ENST00000425750.2	ENSG00000237505.9	0
ENST00000425754.1	ENSG00000237919.5	0
ENST00000425769.1	ENSG00000226014.1	0
ENST00000425771.8	ENSG00000234741.11	0
ENST00000425785.1	ENSG00000228057.1	0
ENST00000425787.2	ENSG00000235761.2	0
ENST00000425796.5	ENSG00000132879.14	0
ENST00000425802.1	ENSG00000223390.1	0
ENST00000425806.2	ENSG00000230946.3	0
ENST00000425816.5	ENSG00000117834.13	0
ENST00000425820.1	ENSG00000233589.1	0
ENST00000425821.2	ENSG00000225616.2	0
ENST00000425826.3	ENSG00000162843.18	0
ENST00000425872.1	ENSG00000238249.2	0
ENST00000425881.1	ENSG00000239636.4	0
ENST00000425884.7	ENSG00000231365.8	0
ENST00000425892.2	ENSG00000117461.15	0
ENST00000425896.1	ENSG00000226780.1	0
ENST00000425913.5	ENSG00000117308.15	0
ENST00000425914.7	ENSG00000224609.9	0
ENST00000425922.1	ENSG00000232676.1	0
ENST00000426017.2	ENSG00000227070.3	0
ENST00000426030.2	ENSG00000228686.2	0
ENST00000426038.1	ENSG00000225904.1	0
ENST00000426041.2	ENSG00000238231.2	0
ENST00000426045.5	ENSG00000154309.9	0
ENST00000426089.1	ENSG00000227953.8	0
ENST00000426090.1	ENSG00000225545.1	0
ENST00000426101.5	ENSG00000291232.2	0
ENST00000426104.1	ENSG00000225297.1	0
ENST00000426105.7	ENSG00000134644.16	0
ENST00000426125.1	ENSG00000223653.7	0
ENST00000426136.1	ENSG00000117501.15	0
ENST00000426137.1	ENSG00000097046.13	0
ENST00000426139.5	ENSG00000162600.12	0
ENST00000426141.6	ENSG00000137948.19	0
ENST00000426150.5	ENSG00000157216.17	0
ENST00000426161.9	ENSG00000198468.12	0
ENST00000426175.5	ENSG00000178796.13	0
ENST00000426178.1	ENSG00000238022.3	0
ENST00000426197.2	ENSG00000239887.6	0
ENST00000426229.1	ENSG00000159346.13	0
ENST00000426237.3	ENSG00000235527.8	0
ENST00000426251.2	ENSG00000236656.2	0
ENST00000426262.1	ENSG00000225006.1	0
ENST00000426263.10	ENSG00000117394.24	12
ENST00000426275.1	ENSG00000291123.2	0
ENST00000426289.2	ENSG00000233114.2	0
ENST00000426300.3	ENSG00000227104.3	0
ENST00000426321.2	ENSG00000229283.2	0
ENST00000426330.1	ENSG00000235226.1	0
ENST00000426344.6	ENSG00000143740.15	0
ENST00000426353.1	ENSG00000227959.3	0
ENST00000426359.1	ENSG00000228191.1	0
ENST00000426386.2	ENSG00000235096.2	0
ENST00000426393.6	ENSG00000230798.8	0
ENST00000426398.3	ENSG00000117569.20	0
ENST00000426406.4	ENSG00000284733.2	0
ENST00000426428.5	ENSG00000236963.10	0
ENST00000426444.1	ENSG00000241128.3	0
ENST00000426445.1	ENSG00000143515.20	0
ENST00000426449.5	ENSG00000157873.18	0
ENST00000426454.2	ENSG00000236973.2	0
ENST00000426496.6	ENSG00000117523.18	1.25053
ENST00000426504.1	ENSG00000234190.1	0
ENST00000426515.3	ENSG00000235933.3	0
ENST00000426517.1	ENSG00000162616.9	0
ENST00000426519.2	ENSG00000234142.3	0
ENST00000426536.1	ENSG00000229112.1	0
ENST00000426543.6	ENSG00000213085.10	0
ENST00000426558.1	ENSG00000293173.2	0
ENST00000426559.7	ENSG00000117632.23	0
ENST00000426570.3	ENSG00000233268.3	0
ENST00000426573.2	ENSG00000229757.2	0
ENST00000426575.3	ENSG00000227740.3	0
ENST00000426592.6	ENSG00000163565.20	0
ENST00000426597.2	ENSG00000220785.10	0
ENST00000426638.1	ENSG00000162819.12	0
ENST00000426639.5	ENSG00000171502.15	0
ENST00000426663.1	ENSG00000117475.14	0
ENST00000426688.1	ENSG00000235089.1	0
ENST00000426692.1	ENSG00000233018.1	0
ENST00000426705.6	ENSG00000143416.21	0
ENST00000426706.6	ENSG00000174175.17	0
ENST00000426709.5	ENSG00000231605.6	0
ENST00000426714.1	ENSG00000224570.1	0
ENST00000426740.8	ENSG00000203747.13	0
ENST00000426743.1	ENSG00000230116.1	0
ENST00000426775.1	ENSG00000235782.2	0
ENST00000426784.1	ENSG00000007923.17	0
ENST00000426793.1	ENSG00000116161.18	0
ENST00000426794.2	ENSG00000230285.2	0
ENST00000426820.7	ENSG00000163349.22	0.4
ENST00000426826.2	ENSG00000223945.2	0
ENST00000426871.1	ENSG00000143373.18	0
ENST00000426881.6	ENSG00000230434.4	0
ENST00000426884.1	ENSG00000229509.1	0
ENST00000426886.1	ENSG00000163866.9	0
ENST00000426890.5	ENSG00000121446.20	0
ENST00000426899.7	ENSG00000227373.7	0
ENST00000426901.2	ENSG00000225632.2	0
ENST00000426909.1	ENSG00000162520.15	0
ENST00000426928.7	ENSG00000215906.9	0
ENST00000426929.1	ENSG00000230184.1	0
ENST00000426952.2	ENSG00000232048.2	0
ENST00000426956.1	ENSG00000057252.13	0
ENST00000426968.2	ENSG00000054392.13	0
ENST00000426972.8	ENSG00000153904.21	0
ENST00000426982.7	ENSG00000142687.19	0
ENST00000426992.2	ENSG00000224690.2	0
ENST00000426999.1	ENSG00000235079.2	0
ENST00000427040.3	ENSG00000117543.22	0
ENST00000427046.1	ENSG00000237934.1	0
ENST00000427081.2	ENSG00000237279.2	0
ENST00000427103.6	ENSG00000162676.13	0
ENST00000427104.5	ENSG00000137948.19	0
ENST00000427110.6	ENSG00000081237.22	0
ENST00000427122.2	ENSG00000229911.2	0
ENST00000427145.1	ENSG00000229699.1	0
ENST00000427154.1	ENSG00000240553.1	0
ENST00000427169.2	ENSG00000238107.2	0
ENST00000427173.1	ENSG00000236720.3	0
ENST00000427176.1	ENSG00000234116.1	0
ENST00000427189.5	ENSG00000121446.20	0
ENST00000427205.1	ENSG00000178796.13	0
ENST00000427211.3	ENSG00000235098.9	0
ENST00000427213.5	ENSG00000232995.7	0
ENST00000427215.2	ENSG00000227141.2	0
ENST00000427236.2	ENSG00000238015.2	0
ENST00000427239.5	ENSG00000060718.22	0.02446
ENST00000427240.2	ENSG00000243970.6	0
ENST00000427243.7	ENSG00000224093.8	0
ENST00000427245.6	ENSG00000117682.18	0
ENST00000427268.2	ENSG00000230798.8	0
ENST00000427271.1	ENSG00000116830.12	0
ENST00000427282.2	ENSG00000223505.2	0
ENST00000427283.1	ENSG00000231827.5	0
ENST00000427290.2	ENSG00000231246.4	0
ENST00000427292.2	ENSG00000232453.8	0
ENST00000427294.1	ENSG00000227883.1	0
ENST00000427302.2	ENSG00000237058.2	0
ENST00000427317.1	ENSG00000237402.2	0
ENST00000427319.1	ENSG00000236335.2	0
ENST00000427321.1	ENSG00000198520.12	0
ENST00000427336.1	ENSG00000198520.12	0
ENST00000427339.2	ENSG00000232188.2	0
ENST00000427395.1	ENSG00000231547.1	0
ENST00000427409.1	ENSG00000226984.1	0
ENST00000427410.6	ENSG00000066136.21	0
ENST00000427426.1	ENSG00000229344.1	0
ENST00000427435.1	ENSG00000226843.1	0
ENST00000427439.1	ENSG00000233410.2	0
ENST00000427444.1	ENSG00000162669.16	0
ENST00000427466.1	ENSG00000130775.16	0
ENST00000427468.6	ENSG00000183317.17	0
ENST00000427469.5	ENSG00000180198.17	3
ENST00000427471.1	ENSG00000237556.1	0
ENST00000427475.1	ENSG00000223503.1	0
ENST00000427495.5	ENSG00000180287.17	0
ENST00000427498.1	ENSG00000235467.1	0
ENST00000427500.7	ENSG00000177628.16	0
ENST00000427515.2	ENSG00000233674.2	0
ENST00000427524.1	ENSG00000236065.3	0
ENST00000427529.1	ENSG00000203666.13	0
ENST00000427540.2	ENSG00000225265.3	0
ENST00000427547.1	ENSG00000229225.1	0
ENST00000427560.1	ENSG00000162946.24	0
ENST00000427563.1	ENSG00000049089.15	0
ENST00000427566.2	ENSG00000226191.3	0
ENST00000427577.1	ENSG00000219201.4	0
ENST00000427600.2	ENSG00000234004.4	0
ENST00000427665.1	ENSG00000143457.11	0
ENST00000427668.1	ENSG00000226147.1	0
ENST00000427669.5	ENSG00000223745.9	0
ENST00000427683.2	ENSG00000243364.8	0
ENST00000427693.1	ENSG00000136630.13	0
ENST00000427695.3	ENSG00000230434.4	0
ENST00000427697.2	ENSG00000119280.17	0
ENST00000427711.2	ENSG00000213987.4	0
ENST00000427731.2	ENSG00000228054.2	0
ENST00000427732.2	ENSG00000236140.2	0
ENST00000427762.1	ENSG00000185839.3	0
ENST00000427779.5	ENSG00000159352.16	0
ENST00000427780.1	ENSG00000229663.1	0
ENST00000427787.5	ENSG00000131591.18	0
ENST00000427796.6	ENSG00000236810.9	0
ENST00000427799.1	ENSG00000176754.14	0
ENST00000427804.1	ENSG00000229388.2	0
ENST00000427806.2	ENSG00000237552.2	0
ENST00000427819.5	ENSG00000223653.7	0
ENST00000427824.1	ENSG00000228140.3	0
ENST00000427825.4	ENSG00000230623.9	0
ENST00000427827.2	ENSG00000227102.2	0
ENST00000427832.2	ENSG00000236012.2	0
ENST00000427843.5	ENSG00000131236.18	0
ENST00000427857.2	ENSG00000230368.3	0
ENST00000427859.5	ENSG00000233355.8	0
ENST00000427867.2	ENSG00000143416.21	0
ENST00000427872.1	ENSG00000227193.3	0
ENST00000427891.2	ENSG00000237278.2	0
ENST00000427892.1	ENSG00000224149.1	0
ENST00000427894.5	ENSG00000158747.15	0
ENST00000427897.1	ENSG00000142798.20	0
ENST00000427917.1	ENSG00000227453.1	0
ENST00000427934.2	ENSG00000143375.15	0
ENST00000427949.1	ENSG00000235862.2	0
ENST00000427953.5	ENSG00000235527.8	0
ENST00000427962.1	ENSG00000224800.1	0
ENST00000427977.6	ENSG00000143416.21	0
ENST00000427993.7	ENSG00000117620.15	0
ENST00000427998.7	ENSG00000291156.2	0
ENST00000428003.2	ENSG00000185842.16	0
ENST00000428024.3	ENSG00000177628.16	0
ENST00000428026.6	ENSG00000060656.20	0
ENST00000428027.1	ENSG00000234981.1	0
ENST00000428030.5	ENSG00000231605.6	0
ENST00000428042.1	ENSG00000179397.18	0
ENST00000428079.6	ENSG00000116198.14	0
ENST00000428087.1	ENSG00000233940.1	0
ENST00000428106.1	ENSG00000126088.14	0
ENST00000428112.7	ENSG00000079277.22	0
ENST00000428120.5	ENSG00000162585.17	0
ENST00000428122.1	ENSG00000243710.8	0
ENST00000428148.1	ENSG00000226349.2	0
ENST00000428151.2	ENSG00000224592.6	0
ENST00000428161.7	ENSG00000069424.16	0
ENST00000428176.1	ENSG00000233355.8	0
ENST00000428233.1	ENSG00000235549.1	0
ENST00000428239.5	ENSG00000097046.13	0.5
ENST00000428289.1	ENSG00000233030.2	0
ENST00000428364.2	ENSG00000226483.2	0
ENST00000428391.1	ENSG00000224691.1	0
ENST00000428399.1	ENSG00000236889.1	0
ENST00000428411.6	ENSG00000226419.10	0
ENST00000428417.5	ENSG00000171729.14	0
ENST00000428434.1	ENSG00000232621.1	0
ENST00000428461.2	ENSG00000231437.4	0
ENST00000428468.6	ENSG00000117859.19	0
ENST00000428469.1	ENSG00000143543.15	0
ENST00000428480.1	ENSG00000244137.1	0
ENST00000428500.1	ENSG00000225828.2	0
ENST00000428504.2	ENSG00000228327.6	0
ENST00000428506.1	ENSG00000236108.1	0
ENST00000428515.5	ENSG00000171161.13	0
ENST00000428569.1	ENSG00000223344.2	0
ENST00000428573.1	ENSG00000226862.1	0
ENST00000428574.6	ENSG00000143257.12	0
ENST00000428595.1	ENSG00000143569.20	0
ENST00000428634.1	ENSG00000131779.11	0
ENST00000428641.1	ENSG00000223356.1	0
ENST00000428642.1	ENSG00000234476.6	0
ENST00000428646.2	ENSG00000225982.2	0
ENST00000428673.1	ENSG00000235152.2	0
ENST00000428687.1	ENSG00000232347.2	0
ENST00000428703.1	ENSG00000234144.1	0
ENST00000428704.1	ENSG00000116478.13	0
ENST00000428732.2	ENSG00000234264.2	0
ENST00000428741.2	ENSG00000243659.1	0
ENST00000428747.1	ENSG00000233485.2	0
ENST00000428771.6	ENSG00000188290.11	0
ENST00000428791.1	ENSG00000225721.5	0
ENST00000428794.1	ENSG00000228369.2	0
ENST00000428803.2	ENSG00000224315.2	0
ENST00000428811.2	ENSG00000237663.2	0
ENST00000428812.1	ENSG00000236155.9	0
ENST00000428836.2	ENSG00000237478.2	0
ENST00000428860.2	ENSG00000229247.2	0
ENST00000428881.1	ENSG00000230364.1	0
ENST00000428891.1	ENSG00000231440.1	0
ENST00000428912.1	ENSG00000233235.1	0
